Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	3	6.27812422761081	2.09270807587027	7.40106994177213	0.0607968638499552	0.001
Residuals	343	96.985824437653	0.282757505649134	NA	0.939203136150045	NA
Total	346	103.263948665264	NA	NA	1	NA
